seed1,seed2,seed3,seed4,seed5
DLK2,DLX1,DLX5,DLX5,DLX6
DLX1,DLX5,DLX6,DLX6,DLX6AS
DLX5,DLX6,DLX6AS,DLX6AS,DMRT2
DLX6,DLX6AS,DMRT2,DMRT2,DNAJB11
DLX6AS,DMRT2,DNAJB11,DNAJB11,DNAJC12
DMRT2,DNAJB11,DNAJC12,DNAJC12,DNAJC19
DNAJB11,DNAJC12,DNAJC19,DNAJC19,DOCK3
DNAJC12,DNAJC19,DOCK3,DOCK3,DPP4
DNAJC19,DOCK3,DPP4,DPP4,DQX1
DOCK3,DPP4,DQX1,DQX1,DSC1
DPP4,DQX1,DSC1,DSC1,DSC3
DQX1,DSC1,DSC3,DSC3,DSG1
DSC1,DSC3,DSG1,DSG1,DSG3
DSC3,DSG1,DSG3,DSG3,DST
DSG1,DSG3,DST,DST,DUSP7
DSG3,DST,DUSP7,DUSP7,DUSP9
DST,DUSP7,DUSP9,DUSP9,DVL3
DUSP7,DUSP9,DVL3,DVL3,DYNC1I1
DUSP9,DVL3,DYNC1I1,DYNC1I1,E2F7
DVL3,DYNC1I1,E2F7,E2F7,ECE2
DYNC1I1,E2F7,ECE2,ECE2,ECT2
E2F7,ECE2,ECT2,ECT2,EFCAB4A
ECE2,ECT2,EFCAB4A,EFCAB4A,EFNB1
ECT2,EFCAB4A,EFNB1,EFNB1,EGFEM1P
EFCAB4A,EFNB1,EGFEM1P,EGFEM1P,EHHADH
EFNB1,EGFEM1P,EHHADH,EHHADH,EIF2A
EGFEM1P,EHHADH,EIF2A,EIF2A,EIF2B5
EHHADH,EIF2A,EIF2B5,EIF2B5,EIF4A2
EIF2A,EIF2B5,EIF4A2,EIF4A2,EIF4G1
EIF2B5,EIF4A2,EIF4G1,EIF4G1,EIF5A2
EIF4A2,EIF4G1,EIF5A2,EIF5A2,ELFN2
EIF4G1,EIF5A2,ELFN2,ELFN2,EN1
EIF5A2,ELFN2,EN1,EN1,ENPP4
ELFN2,EN1,ENPP4,ENPP4,EPCAM
EN1,ENPP4,EPCAM,EPCAM,EPHA10
ENPP4,EPCAM,EPHA10,EPHA10,EPHB3
EPCAM,EPHA10,EPHB3,EPHB3,EPOR
EPHA10,EPHB3,EPOR,EPOR,ERBB2
EPHB3,EPOR,ERBB2,ERBB2,ERBB3
EPOR,ERBB2,ERBB3,ERBB3,ERGIC1
ERBB2,ERBB3,ERGIC1,ERGIC1,ETV5
ERBB3,ERGIC1,ETV5,ETV5,EXOSC7
ERGIC1,ETV5,EXOSC7,EXOSC7,FABP5
ETV5,EXOSC7,FABP5,FABP5,FAM107B
EXOSC7,FABP5,FAM107B,FAM107B,FAM131A
FABP5,FAM107B,FAM131A,FAM131A,FAM131C
FAM107B,FAM131A,FAM131C,FAM131C,FAM157A
FAM131A,FAM131C,FAM157A,FAM157A,FAM162A
FAM131C,FAM157A,FAM162A,FAM162A,FAM181B
FAM157A,FAM162A,FAM181B,FAM181B,FAM188B2
FAM162A,FAM181B,FAM188B2,FAM188B2,FAM194A
FAM181B,FAM188B2,FAM194A,FAM194A,FAM198A
FAM188B2,FAM194A,FAM198A,FAM198A,FAM43A
FAM194A,FAM198A,FAM43A,FAM43A,FAM83B
FAM198A,FAM43A,FAM83B,FAM83B,FAM83C
FAM43A,FAM83B,FAM83C,FAM83C,FAM83D
FAM83B,FAM83C,FAM83D,FAM83D,FAM83F
FAM83C,FAM83D,FAM83F,FAM83F,FAM84A
FAM83D,FAM83F,FAM84A,FAM84A,FANCE
FAM83F,FAM84A,FANCE,FANCE,FAT2
FAM84A,FANCE,FAT2,FAT2,FBXO27
FANCE,FAT2,FBXO27,FBXO27,FBXO45
FAT2,FBXO27,FBXO45,FBXO45,FBXW12
FBXO27,FBXO45,FBXW12,FBXW12,FETUB
FBXO45,FBXW12,FETUB,FETUB,FGF12
FBXW12,FETUB,FGF12,FGF12,FGFR2
FETUB,FGF12,FGFR2,FGFR2,FGFRL1
FGF12,FGFR2,FGFRL1,FGFRL1,FHOD1
FGFR2,FGFRL1,FHOD1,FHOD1,FJX1
FGFRL1,FHOD1,FJX1,FJX1,FLJ90757
FHOD1,FJX1,FLJ90757,FLJ90757,FMO5
FJX1,FLJ90757,FMO5,FMO5,FN3K
FLJ90757,FMO5,FN3K,FN3K,FNDC3B
FMO5,FN3K,FNDC3B,FNDC3B,FOXD1
FN3K,FNDC3B,FOXD1,FOXD1,FOXE1
FNDC3B,FOXD1,FOXE1,FOXE1,FOXN1
FOXD1,FOXE1,FOXN1,FOXN1,FRMD5
FOXE1,FOXN1,FRMD5,FRMD5,FRMD6
FOXN1,FRMD6,FRMD6,FRMD6,FRRS1
FRMD5,FRRS1,FRRS1,FRRS1,FSCN1
FRMD6,FSCN1,FSCN1,FSCN1,FST
FRRS1,FST,FST,FST,FXR1
FSCN1,FXR1,FXR1,FXR1,FXYD3
FST,FXYD3,FXYD3,FXYD3,FYTTD1
FXR1,FYTTD1,FYTTD1,FYTTD1,FZD6
FXYD3,FZD6,FZD6,FZD6,GABRA3
FYTTD1,GABRA3,GABRA3,GABRA3,GABRQ
FZD6,GABRQ,GABRQ,GABRQ,GABRR1
GABRA3,GABRR1,GABRR1,GABRR1,GAL3ST1
GABRQ,GAL3ST1,GAL3ST1,GAL3ST1,GALM
GABRR1,GALM,GALM,GALM,GBP6
GAL3ST1,GBP6,GBP6,GBP6,GFM1
GALM,GFM1,GFM1,GFM1,GFOD1
GBP6,GFOD1,GFOD1,GFOD1,GHSR
GFM1,GHSR,GHSR,GHSR,GJA3
GFOD1,GJA3,GJA3,GJA3,GJB4
GHSR,GJB4,GJB4,GJB4,GJB5
GJA3,GJB5,GJB5,GJB5,GJB6
GJB4,GJB6,GJB6,GJB6,GLOD5
GJB5,GLOD5,GLOD5,GLOD5,GLT8D1
GJB6,GLT8D1,GLT8D1,GLT8D1,GLTP
GLOD5,GLTP,GLTP,GLTP,GMNC
GLT8D1,GMNC,GMNC,GMNC,GMPPB
GLTP,GMPPB,GMPPB,GMPPB,GMPS
GMNC,GMPS,GMPS,GMPS,GNA14
GMPPB,GNA14,GNA14,GNA14,GNAI2
GMPS,GNAI2,GNAI2,GNAI2,GNAT1
GNA14,GNAT1,GNAT1,GNAT1,GNB4
GNAI2,GNB4,GNB4,GNB4,GNL3
GNAT1,GNL3,GNL3,GNL3,GOLIM4
GNB4,GOLIM4,GOLIM4,GOLIM4,GOLM1
GNL3,GOLM1,GOLM1,GOLM1,GOLT1A
GOLIM4,GOLT1A,GOLT1A,GOLT1A,GP5
GOLM1,GP5,GP5,GP5,GPC1
GOLT1A,GPC1,GPC1,GPC1,GPR116
GP5,GPR116,GPR116,GPR116,GPR149
GPC1,GPR149,GPR149,GPR149,GPR160
GPR116,GPR160,GPR160,GPR160,GPR171
GPR149,GPR171,GPR171,GPR171,GPR39
GPR160,GPR39,GPR39,GPR39,GPR62
GPR171,GPR62,GPR62,GPR62,GPR87
GPR39,GPR87,GPR87,GPR87,GRHL3
GPR62,GPX1,GRHL3,GRHL3,GRM2
GPR87,GRHL3,GRM2,GRM2,GTDC2
GRHL3,GRM2,GTDC2,GTDC2,GYG1
GRM2,GTDC2,GYG1,GYG1,HAP1
GTDC2,GYG1,HAP1,HAP1,HAS3
GYG1,HAP1,HAS3,HAS3,HDGFRP3
HAP1,HAS3,HDGFRP3,HDGFRP3,HEMK1
HAS3,HDGFRP3,HEMK1,HEMK1,HES1
HDGFRP3,HEMK1,HES1,HES1,HES2
HEMK1,HES1,HES2,HES2,HGD
HES1,HES2,HGD,HGD,HHATL
HES2,HGD,HHATL,HHATL,HIGD1A
HGD,HHATL,HIGD1A,HIGD1A,HKDC1
HHATL,HIGD1A,HKDC1,HKDC1,HLTF
HIGD1A,HKDC1,HLTF,HLTF,HNF1B
HKDC1,HLTF,HNF1B,HNF1B,HOXA1
HLTF,HNF1B,HOXA1,HOXA1,HOXA13
HNF1B,HOXA1,HOXA13,HOXA13,HOXD11
HOXA1,HOXA13,HOXD11,HOXD11,HOXD13
HOXA13,HOXD11,HOXD13,HOXD13,HPS3
HOXD11,HOXD13,HPS3,HPS3,HR
HOXD13,HPS3,HR,HR,HRAS
HPS3,HR,HRAS,HRAS,HRASLS
HR,HRAS,HRASLS,HRASLS,HRG
HRAS,HRASLS,HRG,HRG,HS6ST1
HRASLS,HRG,HS6ST1,HS6ST1,HSD17B11
HRG,HS6ST1,HSD17B11,HSD17B11,HTR2C
HS6ST1,HSD17B11,HTR2C,HTR2C,HTR3C
HSD17B11,HTR2C,HTR3C,HTR3C,HTR3D
HTR2C,HTR3C,HTR3D,HTR3D,HTR3E
HTR3C,HTR3D,HTR3E,HTR3E,HYAL1
HTR3D,HTR3E,HYAL1,HYAL1,HYAL2
HTR3E,HYAL1,HYAL2,HYAL2,HYAL3
HYAL1,HYAL2,HYAL3,HYAL3,ICA1
HYAL2,HYAL3,ICA1,ICA1,IFRD2
HYAL3,ICA1,IFRD2,IFRD2,IFT80
ICA1,IFRD2,IFT80,IFT80,IGF2BP2
IFRD2,IFT80,IGF2BP2,IGF2BP2,IGSF10
IFT80,IGF2BP2,IGSF10,IGSF10,IGSF11
IGF2BP2,IGSF10,IGSF11,IGSF11,IGSF3
IGSF10,IGSF11,IGSF3,IGSF3,IL12A
IGSF11,IGSF3,IL12A,IL12A,IL1RAP
IGSF3,IL12A,IL1RAP,IL1RAP,IMPDH2
IL12A,IL1RAP,IMPDH2,IMPDH2,IP6K2
IL1RAP,IMPDH2,IP6K2,IP6K2,IQCD
IMPDH2,IP6K1,IQCD,IQCD,IQCF1
IP6K2,IP6K2,IQCF1,IQCF1,IQCF2
IQCD,IQCD,IQCF2,IQCF2,IQCF3
IQCF1,IQCF1,IQCF3,IQCF3,IQCF5
IQCF2,IQCF2,IQCF5,IQCF5,IQCF6
IQCF3,IQCF3,IQCF6,IQCF6,IQCG
IQCF5,IQCF5,IQCG,IQCG,IQCJ
IQCF6,IQCF6,IQCJ,IQCJ,IRF6
IQCG,IQCG,IRF6,IRF6,IRX4
IQCJ,IQCJ,IRX4,IRX4,ITGA6
IRF6,IRF6,ITGA6,ITGA6,ITIH1
IRX4,IRX4,ITIH1,ITIH1,ITIH3
ITGA6,ITGA6,ITIH4,ITIH4,ITIH4
ITIH1,ITIH1,JAG1,JAG1,JAG1
ITIH4,ITIH3,JARID2,JARID2,JARID2
JAG1,ITIH4,JUP,JUP,JUP
JARID2,JAG1,KC6,KC6,KC6
JUP,JARID2,KCMF1,KCMF1,KCMF1
KC6,JUP,KCNAB1,KCNAB1,KCNAB1
KCMF1,KC6,KCNG1,KCNG1,KCNG1
KCNAB1,KCMF1,KCNK5,KCNK5,KCNK5
KCNG1,KCNAB1,KCNMB2,KCNMB2,KCNMB2
KCNK5,KCNG1,KCNMB3,KCNMB3,KCNMB3
KCNMB2,KCNK5,KCNQ3,KCNQ3,KCNQ3
KCNMB3,KCNMB2,KCTD1,KCTD1,KCTD1
KCNQ3,KCNMB3,KCTD15,KCTD15,KCTD15
KCTD1,KCNQ3,KIAA0226,KIAA0226,KIAA0226
KCTD15,KCTD1,KIAA1143,KIAA1143,KIAA1143
KIAA0226,KCTD15,KIF15,KIF15,KIF15
KIAA1143,KIAA0226,KLHL13,KLHDC8B,KLHL13
KIF15,KIAA1143,KLHL24,KLHL13,KLHL24
KLHDC8B,KIF15,KLHL40,KLHL24,KLHL40
KLHL13,KLHL13,KLHL6,KLHL40,KLHL6
KLHL24,KLHL24,KNG1,KLHL6,KNG1
KLHL40,KLHL40,KPNA4,KNG1,KPNA4
KLHL6,KLHL6,KRBOX1,KPNA4,KRBOX1
KNG1,KNG1,KRT13,KRBOX1,KRT13
KPNA4,KPNA4,KRT14,KRT13,KRT14
KRBOX1,KRBOX1,KRT15,KRT14,KRT15
KRT13,KRT13,KRT16,KRT15,KRT16
KRT14,KRT14,KRT17,KRT16,KRT17
KRT15,KRT15,KRT18,KRT17,KRT18
KRT16,KRT16,KRT31,KRT18,KRT31
KRT17,KRT17,KRT34,KRT31,KRT34
KRT18,KRT18,KRT5,KRT34,KRT5
KRT31,KRT31,KRT6A,KRT5,KRT6A
KRT34,KRT34,KRT6B,KRT6A,KRT6B
KRT5,KRT5,KRT6C,KRT6B,KRT6C
KRT6A,KRT6A,KRT7,KRT6C,KRT7
KRT6B,KRT6B,KRT74,KRT7,KRT74
KRT6C,KRT6C,KRT75,KRT74,KRT75
KRT7,KRT7,KRT8P12,KRT75,KRT8P12
KRT74,KRT74,KRT9,KRT8P12,KRT9
KRT75,KRT75,LAMP3,KRT9,LAMP3
KRT8P12,KRT8P12,LARP6,LAMB2,LARP6
KRT9,KRT9,LASS3,LAMP3,LASS3
LAMB2,LAMP3,LEKR1,LARP6,LEKR1
LAMP3,LARP6,LEPREL1,LASS3,LEPREL1
LARP6,LASS3,LGALS7,LEKR1,LGALS7
LASS3,LEKR1,LGALS7B,LEPREL1,LGALS7B
LEKR1,LEPREL1,LGSN,LGALS7,LGSN
LEPREL1,LGALS7,LIMA1,LGALS7B,LIMA1
LGALS7,LGALS7B,LIMCH1,LGSN,LIMCH1
LGALS7B,LGSN,LIMK2,LIMA1,LIMK2
LGSN,LIMA1,LINC00501,LIMCH1,LINC00501
LIMA1,LIMCH1,LINC00578,LIMK2,LINC00578
LIMCH1,LIMK2,LINC00694,LINC00501,LINC00694
LIMK2,LINC00501,LINC00696,LINC00578,LINC00696
LINC00501,LINC00578,LINC00880,LINC00694,LINC00880
LINC00578,LINC00696,LINC00881,LINC00696,LINC00881
LINC00694,LINC00880,LINC00884,LINC00880,LINC00884
LINC00696,LINC00881,LINC00885,LINC00881,LINC00885
LINC00880,LINC00884,LINC00886,LINC00884,LINC00886
LINC00881,LINC00885,LINC00887,LINC00885,LINC00887
LINC00884,LINC00886,LINC00888,LINC00886,LINC00888
LINC00885,LINC00887,LINC00969,LINC00887,LINC00969
LINC00886,LINC00888,LIPH,LINC00888,LIPH
LINC00887,LINC00969,LLGL2,LINC00969,LLGL2
LINC00888,LIPH,LMLN,LIPH,LMLN
LINC00969,LLGL2,LMO7,LLGL2,LMO7
LIPH,LMLN,LOC100129034,LMLN,LOC100129034
LLGL2,LMO3,LOC100130933,LMO7,LOC100130933
LMLN,LMO7,LOC152217,LOC100129034,LOC152217
LMO7,LOC100129034,LOC338651,LOC100130933,LOC338651
LOC100129034,LOC100130933,LOC440173,LOC152217,LOC440173
LOC100130933,LOC152217,LOC440925,LOC338651,LOC440925
LOC152217,LOC338651,LOC642587,LOC440173,LOC642587
LOC338651,LOC440173,LONRF3,LOC440925,LONRF3
LOC440173,LOC440925,LPAR3,LOC642587,LPAR3
LOC440925,LOC642587,LPCAT1,LONRF3,LPCAT1
LOC642587,LONRF3,LPIN2,LPAR3,LPIN2
LONRF3,LPAR3,LPP,LPCAT1,LPP
LPAR3,LPCAT1,LRCH3,LPIN2,LRCH3
LPCAT1,LPIN2,LRRC15,LPP,LRRC15
LPIN2,LPP,LRRC31,LRCH3,LRRC31
LPP,LRCH3,LRRC34,LRRC15,LRRC34
LRCH3,LRRC15,LRRIQ4,LRRC31,LRRIQ4
LRRC15,LRRC31,LSG1,LRRC34,LSG1
LRRC31,LRRC34,LSMEM2,LRRIQ4,LSMEM2
LRRC34,LRRIQ4,LXN,LSG1,LXN
LRRIQ4,LSG1,LYPD3,LSMEM2,LYPD3
LSG1,LSMEM2,MAGEF1,LXN,MAGEF1
LSMEM2,LXN,MANF,LYPD3,MANF
LXN,LYPD3,MAP3K13,MAGEF1,MAP3K13
LYPD3,MAGEF1,MAP3K4,MANF,MAP3K4
MAGEF1,MANF,MAP6D1,MAP3K13,MAP6D1
MANF,MAP3K13,MAPK6,MAP3K4,MAPK6
MAP3K13,MAP3K4,MAPKAPK3,MAP6D1,MAPKAPK3
MAP3K4,MAP6D1,MAPKBP1,MAPK6,MAPKBP1
MAP6D1,MAPK6,MARK1,MAPKAPK3,MARK1
MAPK6,MAPKAPK3,MASP1,MAPKBP1,MASP1
MAPKAPK3,MAPKBP1,MB21D2,MARK1,MB21D2
MAPKBP1,MARK1,MBIP,MASP1,MBIP
MARK1,MASP1,MBNL1,MB21D2,MBNL1
MASP1,MB21D2,MCC,MBIP,MCC
MB21D2,MBIP,MCCC1,MBNL1,MCCC1
MBIP,MBNL1,MCF2L2,MCC,MCF2L2
MBNL1,MCC,MCM2,MCCC1,MCM2
MCC,MCCC1,ME3,MCF2L2,ME3
MCCC1,MCF2L2,MECOM,MCM2,MECOM
MCF2L2,MCM2,MED12L,ME3,MED12L
MCM2,ME3,MFI2,MECOM,MFI2
ME3,MECOM,MFN1,MED12L,MFN1
MECOM,MED12L,MFSD1,MFI2,MFSD1
