seed1,seed2,seed3,seed4,seed5
TUSC2,TUBA1C,U8|ENSG00000201398.1,TWF2,U8|ENSG00000201398.1
TWF2,TUSC2,U8|ENSG00000201810.1,U4|ENSG00000272359.1,U8|ENSG00000201810.1
U4|ENSG00000272359.1,TWF2,UBXN7,U8|ENSG00000201398.1,UBXN7
U8|ENSG00000201398.1,U4|ENSG00000272359.1,UCN2,U8|ENSG00000201810.1,UCN2
U8|ENSG00000201810.1,U8|ENSG00000201398.1,UGT1A6,UBXN7,UGT1A6
UBXN7,U8|ENSG00000201810.1,UGT1A9,UCN2,UGT1A9
UCN2,UBXN7,UPK1B,UGT1A6,UPK1B
UGT1A6,UCN2,USH1G,UGT1A9,USH1G
UGT1A9,UGT1A6,USP13,UPK1B,USP13
UPK1B,UGT1A9,USP31,USH1G,USP31
USH1G,UPK1B,UST,USP13,UST
USP13,USH1G,UTS2B,USP19,UTS2B
USP19,USP13,VANGL2,USP31,VANGL2
USP31,USP31,VEPH1,UST,VEPH1
UST,USP4,VIPR1,UTS2B,VIPR1
UTS2B,UST,VPRBP,VANGL2,VPRBP
VANGL2,UTS2B,VPS8,VEPH1,VPS8
VEPH1,VANGL2,VSNL1,VIPR1,VSNL1
VIPR1,VEPH1,VSTM2L,VPRBP,VSTM2L
VPRBP,VPRBP,VWA5B2,VPS8,VWA5B2
VPS8,VPS8,WDR49,VSNL1,WDR49
VSNL1,VSNL1,WDR53,VSTM2L,WDR53
VSTM2L,VSTM2L,WDR6,VWA5B2,WDR6
VWA5B2,VWA5B2,WDR72,WDR49,WDR72
WDR49,WDR49,WFDC5,WDR53,WFDC5
WDR53,WDR53,WNT2B,WDR6,WNT2B
WDR6,WDR6,WNT3A,WDR72,WNT3A
WDR72,WDR72,WWTR1,WFDC5,WWTR1
WFDC5,WFDC5,XG,WNT2B,XG
WNT2B,WNT2B,XXYLT1,WNT3A,XXYLT1
WNT3A,WNT3A,YEATS2,WWTR1,YEATS2
WWTR1,WWTR1,ZBBX,XG,ZBBX
XG,XG,ZBTB47,XXYLT1,ZBTB47
XXYLT1,XXYLT1,ZDHHC19,YEATS2,ZDHHC19
YEATS2,YEATS2,ZDHHC9,ZBBX,ZDHHC9
ZBBX,ZBBX,ZFP64,ZBTB47,ZFP64
ZBTB47,ZDHHC19,ZIC5,ZDHHC19,ZIC5
ZDHHC19,ZDHHC9,ZMAT3,ZDHHC9,ZMAT3
ZDHHC9,ZFP64,ZMYND10,ZFP64,ZMYND10
ZFP64,ZIC5,ZNF385A,ZIC5,ZNF385A
ZIC5,ZMAT3,ZNF445,ZMAT3,ZNF445
ZMAT3,ZMYND10,ZNF488,ZMYND10,ZNF488
ZMYND10,ZNF385A,ZNF501,ZNF385A,ZNF501
ZNF385A,ZNF488,ZNF502,ZNF445,ZNF502
ZNF488,ZNF501,ZNF589,ZNF488,ZNF589
ZNF501,ZNF502,ZNF639,ZNF501,ZNF639
ZNF502,ZNF589,ZNF660,ZNF502,ZNF660
ZNF589,ZNF639,ZNF662,ZNF589,ZNF662
ZNF639,ZNF662,ZNF69,ZNF639,ZNF69
ZNF662,ZNF69,ZNF852,ZNF662,ZNF852
ZNF69,snoU13|ENSG00000238359.1,snoU13|ENSG00000238359.1,ZNF69,snoU13|ENSG00000238359.1
snoU13|ENSG00000238359.1,snoU13|ENSG00000238398.1,snoU13|ENSG00000238398.1,snoU13|ENSG00000238359.1,snoU13|ENSG00000238398.1
snoU13|ENSG00000238398.1,snoU13|ENSG00000238491.1,snoU13|ENSG00000238491.1,snoU13|ENSG00000238398.1,snoU13|ENSG00000238491.1
snoU13|ENSG00000238491.1,snoU13|ENSG00000238565.1,snoU13|ENSG00000238565.1,snoU13|ENSG00000238491.1,snoU13|ENSG00000238565.1
snoU13|ENSG00000238565.1,snoU13|ENSG00000238902.1,snoU13|ENSG00000238902.1,snoU13|ENSG00000238565.1,snoU13|ENSG00000238902.1
snoU13|ENSG00000238902.1,snoU13|ENSG00000239093.1,snoU13|ENSG00000239093.1,snoU13|ENSG00000238902.1,snoU13|ENSG00000239093.1
snoU13|ENSG00000239093.1,snoU13|ENSG00000239096.1,snoU13|ENSG00000239096.1,snoU13|ENSG00000239093.1,snoU13|ENSG00000239096.1
snoU13|ENSG00000239096.1,snoU13|ENSG00000239141.1,snoU13|ENSG00000239141.1,snoU13|ENSG00000239096.1,snoU13|ENSG00000239141.1
snoU13|ENSG00000239141.1,snoU13|ENSG00000239146.1,snoU13|ENSG00000239146.1,snoU13|ENSG00000239141.1,snoU13|ENSG00000239146.1
snoU13|ENSG00000239146.1,snoU13|ENSG00000243321.2,snoU13|ENSG00000243321.2,snoU13|ENSG00000239146.1,snoU13|ENSG00000243321.2
snoU13|ENSG00000243321.2,snoU13|ENSG00000271842.1,snoU13|ENSG00000271842.1,snoU13|ENSG00000243321.2,snoU13|ENSG00000271842.1
snoU13|ENSG00000271842.1,snoU13|ENSG00000271922.1,snoU13|ENSG00000271922.1,snoU13|ENSG00000271842.1,snoU13|ENSG00000271922.1
snoU13|ENSG00000271922.1,,,snoU13|ENSG00000271922.1,
